Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Labels,Labels,Labels,Created,Reporter,Reporter Id,Custom field (Story Points),Custom field (Quarter Plan),Custom field (Quarter Plan),Assignee,Assignee Id,Remaining Estimate,Time Spent,Custom field (Total Work Level Hours)
Task,AWAMWRS-9096,3357668,[HK/Tech] Migration from the legacy GitHub organization manulife-gwam to the Enterprise Managed Users (EMU) organization mfc-gwam.,3410346,AWAMWRS-9117,[Tech] Migration from the legacy GitHub organization manulife-gwam to the Enterprise Managed Users (EMU) organization mfc-gwam.,High,Validating,,,,12/17/25 10:58,Kevin Lee,5f8f51dcddb0df006e70f161,5,2026.1,,Maximilien Garcia,632a13542eaaa5dcfa1199bf,28800,86400,
Task,AWAMWRS-9027,3285275,"[HK] Create RPQ when ""reuse previous RPQ in IFUNDS""",2815667,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,TBD,Validating,,,,12/5/25 15:40,Paddy An,60467f23116c460070d87237,3,2026.1,,Rozwel Li,712020:5961d129-51ae-4822-ae22-dfed75571365,28800,100800,
Story,AWAMWRS-9023,3278548,[HK/Phoenix] UAT for client merge,1693723,AWAMWRS-5796,[HK/Phoenix] Client Merge/Client Clone process Enhancements (Day 2 Process Enhancement ),High,In progress,,,,12/4/25 15:19,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,5,2026.1,,Dylan Cheng,6042517281a8400068f38991,28800,136800,
Story,AWAMWRS-5770,1691012,[HK/Phoenix] All in one maintenance implementation,2884970,AWAMWRS-8511,[HK/Phoenix]  Phoenix General Function Enhancement (25Q4),Critical,Validating,Enhancement,,,2/17/25 12:08,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,22,2025.4,,Faye Chen,62d070fabb346bdf82faed3a,28800,633600,
Story,AWAMWRS-8503,2876630,Review on Document List Bulk Update,1691999,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,High,Validating,,,,10/8/25 10:32,Joan Ching,712020:3df01112-e9ff-472f-96b5-b710d9dc2c77,2,2025.4,,Ehsan Li,62d07096a94a6f9c0eff0ed7,10800,57600,
Task,AWAMWRS-9174,3474632,[HK] Data-patch to leave only 1 active RPQ per client(remained record clean created after 2025-12-31),2815667,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,TBD,Done,,,,1/9/26 16:39,Dorothy Lo,62f606ecda8620d533958439,2,2026.1,,Rozwel Li,712020:5961d129-51ae-4822-ae22-dfed75571365,7200,7200,
Story,AWAMWRS-6999,1890337,[HK/Phoenix] Build new V3 API for Client Merge,1693723,AWAMWRS-5796,[HK/Phoenix] Client Merge/Client Clone process Enhancements (Day 2 Process Enhancement ),Critical,Validating,Enhancement,,,5/15/25 16:17,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,5,2026.1,,Dylan Cheng,6042517281a8400068f38991,7200,194400,
Story,AWAMWRS-8309,2654266,[Phoenix/HK] Corporate Client Maintenance Failed to save draft when calculate red flag is not clicked,1879943,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,High,Validating,,,,9/10/25 15:35,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,1,2025.4,,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,3600,3600,
Story,AWAMWRS-9162,3457401,[HK/SG] Prepare tests for CDM Message Bus,3407355,AWAMWRS-9109,[WRS] 2025-26 DR Extension 2026,TBD,In progress,,,,1/7/26 17:58,Sunil Kishore Khiatani,6281c0cbbdf2f30067d1f93a,2,2026.1,,Sunil Kishore Khiatani,6281c0cbbdf2f30067d1f93a,0,28800,
Task,AWAMWRS-9160,3456785,[HK] To do one time job to fix Missing Transactions from AML feeds,1584910,AWAMWRS-5126,[KLO] L3 Production Support 2025 Q1,Critical,Done,,,,1/7/26 15:15,Ma Luowella Sanchez,620cdf9907f51e0069438c6f,2,2026.1,,Dylan Cheng,6042517281a8400068f38991,0,28800,
Task,AWAMWRS-9152,3433123,WRS Weekly Release 20260108,3399129,GWAMAWAM-12940,[HK] 2026 Q1 Production Support,High,Done,,,,1/5/26 15:52,Rozwel Li,712020:5961d129-51ae-4822-ae22-dfed75571365,2,,,Rozwel Li,712020:5961d129-51ae-4822-ae22-dfed75571365,0,57600,
Story,AWAMWRS-9114,3408190,[HK] Show investment-holding in monthly-statement when holding units > 0 and NAV = 0,3408188,AWAMWRS-9113,[HK] MIC Handling for MGF Emerging Eastern Europe,Critical,Done,,,,12/29/25 19:04,Paddy An,60467f23116c460070d87237,5,2026.1,,Paddy An,60467f23116c460070d87237,0,158400,
Story,AWAMWRS-9095,3343226,[SG] PEP Information to support occupation and source of wealth/fund,3194262,AWAMWRS-8913,[SG] Account opening enhancement to support M360,High,Validating,,,,12/16/25 16:10,Calvinthio Gunawan,62d070a21e326fd930131db7,8,2026.1,,Louis Lei,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,0,460800,
Task,AWAMWRS-9071,3336974,[SG] TFI/TFO to be tagged as Subscription/Redemption in EDL Transaction feed,2672999,AWAMWRS-8314,[SG] KLO SG Production Fixes Q4 2025,Critical,Validating,,,,12/15/25 14:31,Renzel Jay De Jesus,712020:f455328d-9a28-47c5-8fef-0b2f2a5f8848,1,2025.4,,Oliver Liu,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,0,3600,
Story,AWAMWRS-9067,3336649,[HK/SG] Prepare tests for DR,3407355,AWAMWRS-9109,[WRS] 2025-26 DR Extension 2026,Medium,Done,,,,12/15/25 12:00,Sunil Kishore Khiatani,6281c0cbbdf2f30067d1f93a,2,2026.1,,Sunil Kishore Khiatani,6281c0cbbdf2f30067d1f93a,0,97200,
Task,AWAMWRS-9063,3324614,[HK] Endpoint /api/v3/kyc/calculate-next-refresh-date often causes pod restarting because of memory outage,2605660,AWAMWRS-8249,[KLO] 2026 Production Fix Backlog,High,Done,,,,12/11/25 17:51,Kenive Chan,5fc8254f78f018007680e85d,3,2025.4,,Ehsan Li,62d07096a94a6f9c0eff0ed7,0,39600,
Story,AWAMWRS-9055,3295774,[HK] Fix CSV file can not generate data in Prod,3410301,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,High,Done,2025_PRB_Top01,,,12/8/25 15:36,Kenive Chan,5fc8254f78f018007680e85d,3,2026.1,,Lishan Du,62ea83001323922c61e1ff04,0,86400,
Task,AWAMWRS-9028,3285278,[HK] Inactive existing RPQ when legacy-migration,2815667,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,Done,,,,12/5/25 15:40,Paddy An,60467f23116c460070d87237,5,2025.4,,Rozwel Li,712020:5961d129-51ae-4822-ae22-dfed75571365,0,129600,
Task,AWAMWRS-9026,3285272,[HK] Data-patch to leave only 1 active RPQ per client,2815667,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,TBD,Done,,,,12/5/25 15:39,Paddy An,60467f23116c460070d87237,2,2025.4,,Rozwel Li,712020:5961d129-51ae-4822-ae22-dfed75571365,0,36000,
Story,AWAMWRS-9022,3278545,[HK/Phoenix] Build chipmunk api for client merge,1693723,AWAMWRS-5796,[HK/Phoenix] Client Merge/Client Clone process Enhancements (Day 2 Process Enhancement ),Critical,Validating,,,,12/4/25 15:19,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,3,2026.1,,Dylan Cheng,6042517281a8400068f38991,0,86400,
Story,AWAMWRS-8928,3218869,[HK/Phoenix]: Technical Fix Phoenix Edge case: Empty tax info leading to error in corporate client clone feature ,,,,Medium,Done,Bug,HK,,11/26/25 11:06,Candy Mok,61a80b67b43d5b006a6ef66b,5,2025.4,,Louis Lei,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,0,57600,
Task,AWAMWRS-8917,3194425,[SG] Update source of wealth choice list,3194262,AWAMWRS-8913,[SG] Account opening enhancement to support M360,High,Validating,,,,11/24/25 17:53,Calvinthio Gunawan,62d070a21e326fd930131db7,1,2026.1,,Louis Lei,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,0,28800,
Operational Support,AWAMWRS-8865,3176420,[HK] Legacy orders from WWS missing processed_date in WRS,3410301,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,Medium,Validating,2025_PRB_Top01,HK,,11/21/25 15:13,Ma Luowella Sanchez,620cdf9907f51e0069438c6f,3,2026.1,,Lishan Du,62ea83001323922c61e1ff04,0,201600,
Task,AWAMWRS-8757,3081453,[HK] Loading KFIN data to UAT ,2764924,AWAMWRS-8384,[HK/Biz/Ops] To support iFUNDS Enhancement on BB4 dashboard - Phase Batch Updates / Data Loading,High,Validating,,,,11/7/25 15:00,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,5,2026.1,,Grant Chen,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,0,201600,
Sub-task,AWAMWRS-8735,3046685,[HK/Phoenix] there is presentation issue when deleting the RCA,2048754,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,Medium,Validating,,,,11/4/25 10:41,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,2,2025.3,,Calvinthio Gunawan,62d070a21e326fd930131db7,0,7200,
Story,AWAMWRS-8657,2965734,[HK/Phoenix] Enhance the existing V3 Get kyc-documents API to return current document data and historical document data,1691999,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,High,Validating,,,,10/22/25 17:06,Faye Chen,62d070fabb346bdf82faed3a,3,2026.1,,Lishan Du,62ea83001323922c61e1ff04,0,,
Story,AWAMWRS-8655,2965728,[HK/Phoenix] Create a new V3 Patch client kyc document API to update the document list data,1691999,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,High,Validating,,,,10/22/25 16:53,Candy Mok,61a80b67b43d5b006a6ef66b,5,2026.1,,Lishan Du,62ea83001323922c61e1ff04,0,,
Story,AWAMWRS-8654,2965722,[HK/Phoenix] Enhance the existing V3 Post clients API to include storing the document list data,1691999,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,High,Validating,,,,10/22/25 16:45,Candy Mok,61a80b67b43d5b006a6ef66b,5,2026.1,,Lishan Du,62ea83001323922c61e1ff04,0,,
Sub-task,AWAMWRS-8447,2804734,Add 2 new fields Employed by SFC Intermediary and Business Registration No,2298859,AWAMWRS-7783,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,Critical,Validating,,,,9/26/25 13:40,Faye Chen,62d070fabb346bdf82faed3a,3,2026.1,,Lishan Du,62ea83001323922c61e1ff04,0,,
Story,AWAMWRS-7927,2387122,[HK/Phoenix] Client Red Flag/PEP/Country Risk Form’s Backend (Post),1879943,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,High,Validating,,,,8/3/25 14:51,Joey Lam,62d06e192c801edc32859a3a,8,2026.1,,Lishan Du,62ea83001323922c61e1ff04,0,,
Story,AWAMWRS-7926,2387119,[HK/Phoenix] Client Red Flag/PEP/Country Risk Form’s for Corporate Client Maintenance,1879943,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,High,Validating,,,,8/3/25 14:47,Sunil Kishore Khiatani,6281c0cbbdf2f30067d1f93a,3,2025.3,2025.4,Calvinthio Gunawan,62d070a21e326fd930131db7,0,14400,
Story,AWAMWRS-7924,2387113,[HK/Phoenix] Client Red Flag/PEP/Country Risk Form’s for Corporate Client Onboarding,1879943,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,TBD,Validating,,,,8/3/25 14:28,Sunil Kishore Khiatani,6281c0cbbdf2f30067d1f93a,3,2026.1,,Sunil Kishore Khiatani,6281c0cbbdf2f30067d1f93a,0,57600,
Story,AWAMWRS-7923,2387110,[HK/Phoenix] Client Red Flag/PEP/Country Risk Form’s Historical Table (backend),1879943,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,High,Validating,,,,8/3/25 14:25,Joey Lam,62d06e192c801edc32859a3a,5,2026.1,,Lishan Du,62ea83001323922c61e1ff04,0,,
Story,AWAMWRS-7921,2387104,[HK/Phoenix] Client Red Flag/PEP/Country Risk Form’s for Invidiual Client Maintenance,1879943,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,High,Validating,,,,8/3/25 14:12,Sunil Kishore Khiatani,6281c0cbbdf2f30067d1f93a,5,2025.3,2025.4,Calvinthio Gunawan,62d070a21e326fd930131db7,0,144000,
Story,AWAMWRS-7920,2387101,[HK/Phoenix] Client Red Flag/PEP/Country Risk Form’s Backend (Get/Patch),1879943,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,High,Validating,,,,8/3/25 14:06,Joey Lam,62d06e192c801edc32859a3a,8,2026.1,,Lishan Du,62ea83001323922c61e1ff04,0,,
Story,AWAMWRS-7914,2383369,[SG] Process Transfer Out Records from PSPL feed,2514626,AWAMWRS-8140,[SG] SG Small Enhancements Q4 2025,High,Done,,,,8/1/25 11:05,James Foo,712020:f094b568-b1b2-4083-b6c5-95d9bc7b0e6e,3,2026.1,,Grant Chen,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,0,104400,
Task,AWAMWRS-7911,2379293,[HK/Phoenix] Tech clarifications on Client Red Flag/PEP/Country Risk Form’s,1879943,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,High,Validating,,,,7/31/25 15:32,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,3,2026.1,,Sunil Kishore Khiatani,6281c0cbbdf2f30067d1f93a,0,57600,
Story,AWAMWRS-7572,2119340,[HK/Phoenix] Day 2 Display Client Name and Client ID in RPQ screen,1686542,AWAMWRS-5712,[HK/Phoenix]  Phoenix General Function Enhancement (To be prioritized),TBD,Done,Production_Enhancement,,,6/20/25 15:28,Joan Ching,712020:3df01112-e9ff-472f-96b5-b710d9dc2c77,3,2026.1,,Louis Lei,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,0,57600,
Story,AWAMWRS-7462,2048754,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,1879943,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,Critical,Validating,Enhancement,,,6/12/25 11:49,Dorothy Lo,62f606ecda8620d533958439,23,2025.3,,Calvinthio Gunawan,62d070a21e326fd930131db7,0,288000,
