Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Custom field (Story Points),Assignee,Assignee Id,Remaining Estimate,Time Spent,Sprint,Sprint.1,Sprint.2,Sprint.3,Sprint.4,Sprint.5,Sprint.6,Sprint.7,Sprint.8,Sprint.9,Sprint.10,Sprint.11,SP (Days),Rem (Secs),Spent (Secs),Rem (Days),Spent (Days),Calculated Rem (Days),Calculated Spent (Days)
Task,AWAMWRS-9070,3336930,[SG] Incomplete data on EDL Transaction feed file,3679917.0,AWAMWRS-9419,[SG] KLO SG Production Fixes Q1 2026,Critical,Validating,10.0,Oliver,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,0.0,432000.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,10.0,0.0,432000.0,0.0,15.0,0.0,15.0
Story,AWAMWRS-8747,3066041,[HK] CAP: Ensure Full Legal Name match Last time First Name format (Part 3),1791668.0,AWAMWRS-6422,[HK/Phoenix/Poseidon] Immediate Action on data fix for the CAP,Critical,Validating,5.0,Paddy,60467f23116c460070d87237,3600.0,129600.0,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,5.0,3600.0,129600.0,0.125,4.5,0.125,4.5
Task,AWAMWRS-9333,3602012,[HK] submission by 30/Jan,3170964.0,AWAMWRS-8858,[HK] EY IT Audit 25/26,High,Done,1.0,Paddy,60467f23116c460070d87237,0.0,28800.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,1.0,0.0,28800.0,0.0,1.0,0.0,1.0
Task,AWAMWRS-8746,3065756,[HK] Ops KYC reminder report Enhancement and Re-enablement,3530385.0,AWAMWRS-9224,[HK] KYC Enhancement 2026 Follow Up Q1,TBD,Done,1.0,Paddy,60467f23116c460070d87237,0.0,28800.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,1.0,0.0,43200.0,0.0,1.5,0.0,1.0
Story,AWAMWRS-9164,3463716,"[HK] Set EEEAA ""Gain/Loss %"" to 0 in monthly-statement investment-holdings grid",3408188.0,AWAMWRS-9113,[HK] Business Enhancement - MIC special Handling for MGF Emerging Eastern Europe,High,In progress,5.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,93600.0,57600.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,5.0,93600.0,57600.0,3.25,2.0,3.25,2.0
Task,AWAMWRS-9331,3593462,[HK]: Adding more logs and query enhancement for IFUNDS Subscription with Solicited trade missing odertransactionId,3399129.0,GWAMAWAM-12940,[HK] 2026 Q1 Production Support,High,Done,2.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,0.0,57600.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,2.0,28800.0,28800.0,1.0,1.0,0.0,2.0
Task,AWAMWRS-8193,2557304,[HK/Phoenix/Tech] Patch unexpected null assesssment_question_id and null response in client_assessment_results table,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,Validating,3.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,28800.0,151200.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,3.0,28800.0,151200.0,1.0,5.25,1.0,5.25
Operational Support,AWAMWRS-9288,1634416,[HK] WWS Sub PoP exception when handling flagged DPEP (Domestic Political Expose Person),3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,Critical,Done,3.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,0.0,86400.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,3.0,0.0,122400.0,0.0,4.25,0.0,3.0
Task,AWAMWRS-7911,2379293,[HK/Phoenix] Tech clarifications on Client Red Flag/PEP/Country Risk Form’s,1879943.0,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,High,Validating,3.0,Sunil,6281c0cbbdf2f30067d1f93a,7200.0,57600.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,3.0,7200.0,57600.0,0.25,2.0,0.25,2.0
Story,AWAMWRS-9416,3679039,[WRS] Investigate Network Latency,2604617.0,AWAMWRS-8244,[WRS] 2025-26 DR,Medium,In progress,2.0,Sunil,6281c0cbbdf2f30067d1f93a,0.0,5400.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,2.0,0.0,5400.0,0.0,0.1875,0.0,0.1875
Story,AWAMWRS-9383,3637621,[PHOENIX/HK] Update PHOENIX-HK Shared folder password on PROD,,,,High,Done,2.0,Sunil,6281c0cbbdf2f30067d1f93a,0.0,57600.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,2.0,0.0,25260.0,0.0,0.8770833333333333,0.0,2.0
Task,AWAMWRS-9260,3546055,[HK] WRS Disaster Recovery Exercise,2604617.0,AWAMWRS-8244,[WRS] 2025-26 DR,TBD,Done,5.0,Sunil,6281c0cbbdf2f30067d1f93a,0.0,144000.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,5.0,0.0,140400.0,0.0,4.875,0.0,5.0
